,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
34,Sudhakaran Cherukanam,IND,0,10th Pass,47,"Rs 33,69,202 ~ 33 Lacs+","Rs 3,83,275 ~ 3 Lacs+",KASARAGOD,Kerala2016,0
35,Sundara K,IND,0,8th Pass,45,"Rs 16,254 ~ 16 Thou+",Rs 0 ~,KASARAGOD,Kerala2016,0
36,Vijayakumar B,BSP,0,10th Pass,43,"Rs 5,00,000 ~ 5 Lacs+",Rs 0 ~,KASARAGOD,Kerala2016,0
0,A.a.azeez,Revolutionary Socialist Party,0,8th Pass,74,"Rs 1,38,86,509 ~ 1 Crore+",Rs 0 ~,KOLLAM,Kerala2016,0
1,A.k.salahudheen,SDPI,0,12th Pass,45,"Rs 9,74,095 ~ 9 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
2,Abdul Razak,SDPI,0,8th Pass,60,"Rs 94,69,741 ~ 94 Lacs+","Rs 45,50,000 ~ 45 Lacs+",KOLLAM,Kerala2016,0
3,Abu Muhammed,IND,0,5th Pass,60,"Rs 23,27,026 ~ 23 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
4,Adv. Faizy M Pasha,SDPI,0,Graduate Professional,30,"Rs 57,55,674 ~ 57 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
5,Adv. P.aisha Potty,CPI(M),1,Post Graduate,57,"Rs 67,16,196 ~ 67 Lacs+","Rs 3,10,000 ~ 3 Lacs+",KOLLAM,Kerala2016,0
6,Adv.k.raju,CPI,0,Graduate Professional,63,"Rs 92,50,531 ~ 92 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
7,Adv.savin Sathyan,INC,1,Graduate Professional,37,"Rs 79,72,374 ~ 79 Lacs+","Rs 12,49,094 ~ 12 Lacs+",KOLLAM,Kerala2016,0
8,Ajayakumar Thankappan,IND,0,8th Pass,54,"Rs 1,43,000 ~ 1 Lacs+","Rs 1,25,000 ~ 1 Lacs+",KOLLAM,Kerala2016,0
9,Anilkumar,IND,0,10th Pass,42,"Rs 25,76,000 ~ 25 Lacs+","Rs 2,00,000 ~ 2 Lacs+",KOLLAM,Kerala2016,0
10,Anzar,SDPI,0,10th Pass,32,"Rs 14,47,000 ~ 14 Lacs+","Rs 1,78,000 ~ 1 Lacs+",KOLLAM,Kerala2016,0
11,Balakrishnan,IND,0,Literate,65,"Rs 9,01,500 ~ 9 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,2
12,C.k Gopi,Peoples Democratic Party,0,10th Pass,66,"Rs 7,60,510 ~ 7 Lacs+","Rs 8,00,000 ~ 8 Lacs+",KOLLAM,Kerala2016,0
13,Chandrasehkara Pillai M.g,IND,0,10th Pass,52,"Rs 13,86,000 ~ 13 Lacs+","Rs 1,60,000 ~ 1 Lacs+",KOLLAM,Kerala2016,0
14,Chellappan,IND,0,Literate,64,"Rs 3,22,693 ~ 3 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,2
15,Dr.a.younus Kunju,IUML,3,8th Pass,74,"Rs 24,05,05,198 ~ 24 Crore+",Rs 0 ~,KOLLAM,Kerala2016,0
16,G.s.jayalal,CPI,2,10th Pass,43,"Rs 1,67,46,898 ~ 1 Crore+","Rs 63,75,666 ~ 63 Lacs+",KOLLAM,Kerala2016,0
17,Gopakumar B B,BJP,1,Post Graduate,50,"Rs 55,51,947 ~ 55 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
18,Gopalakrishnan,BSP,0,Graduate,66,"Rs 11,54,076 ~ 11 Lacs+","Rs 2,30,000 ~ 2 Lacs+",KOLLAM,Kerala2016,7
19,Hariprasad,IND,0,10th Pass,40,"Rs 10,000 ~ 10 Thou+","Rs 95,000 ~ 95 Thou+",KOLLAM,Kerala2016,0
20,Hassan.m.m,INC,0,Graduate Professional,69,"Rs 2,08,23,702 ~ 2 Crore+","Rs 3,53,872 ~ 3 Lacs+",KOLLAM,Kerala2016,0
21,J.mercy Kutty Amma,CPI(M),2,Post Graduate,60,"Rs 31,54,609 ~ 31 Lacs+","Rs 63,314 ~ 63 Thou+",KOLLAM,Kerala2016,0
22,Jayakala L,Ambedkarite Party of India,0,8th Pass,31,"Rs 42,000 ~ 42 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
23,Johnson Kandachira,SDPI,0,10th Pass,41,"Rs 23,30,166 ~ 23 Lacs+","Rs 1,50,593 ~ 1 Lacs+",KOLLAM,Kerala2016,0
24,K. Balakrishnan,BSP,0,Literate,64,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,KOLLAM,Kerala2016,2
25,K.b. Ganesh Kumar,Kerala Congress (B),1,12th Pass,49,"Rs 22,21,33,032 ~ 22 Crore+",Rs 0 ~,KOLLAM,Kerala2016,0
26,K.sasankan,SUCI(C),0,Post Graduate,49,"Rs 8,97,964 ~ 8 Lacs+","Rs 2,50,000 ~ 2 Lacs+",KOLLAM,Kerala2016,0
27,Kabeer Kutty.i.puthezham,Peoples Democratic Party,0,8th Pass,42,"Rs 86,52,668 ~ 86 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
28,Kovoor Kunjumon,IND,0,10th Pass,48,"Rs 4,73,489 ~ 4 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
29,Kunjumon,IND,0,10th Pass,42,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
30,M Mukesh,CPI(M),0,Graduate,59,"Rs 10,57,25,918 ~ 10 Crore+","Rs 33,00,000 ~ 33 Lacs+",KOLLAM,Kerala2016,7
31,M S Syam Kumar,BJP,0,Post Graduate,60,"Rs 80,60,955 ~ 80 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
32,M. Noushad,CPI(M),6,12th Pass,51,"Rs 17,28,911 ~ 17 Lacs+","Rs 3,98,794 ~ 3 Lacs+",KOLLAM,Kerala2016,0
33,Madhu.b,IND,0,5th Pass,43,"Rs 6,61,000 ~ 6 Lacs+","Rs 33,500 ~ 33 Thou+",KOLLAM,Kerala2016,0
34,Madhu.r,IND,0,10th Pass,51,"Rs 3,24,000 ~ 3 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
35,Mahesh,INC,8,Graduate,37,"Rs 20,94,488 ~ 20 Lacs+","Rs 3,78,922 ~ 3 Lacs+",KOLLAM,Kerala2016,7
36,Manilal M.r,IND,0,10th Pass,28,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
37,Manoj,BSP,0,12th Pass,31,"Rs 2,40,000 ~ 2 Lacs+","Rs 2,40,000 ~ 2 Lacs+",KOLLAM,Kerala2016,0
38,Manoj,IND,0,10th Pass,31,"Rs 7,60,000 ~ 7 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
39,Muhammed Ismail,Peoples Democratic Party,0,5th Pass,32,"Rs 1,41,000 ~ 1 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
40,Muhammed Najim.s,Peoples Democratic Party,0,5th Pass,41,"Rs 2,69,068 ~ 2 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
41,Mylakkadu Shah,Peoples Democratic Party,7,8th Pass,47,"Rs 29,85,000 ~ 29 Lacs+","Rs 30,00,000 ~ 30 Lacs+",KOLLAM,Kerala2016,0
42,Narayanan Nair,IND,0,10th Pass,54,"Rs 1,08,300 ~ 1 Lacs+","Rs 90,700 ~ 90 Thou+",KOLLAM,Kerala2016,0
43,Navas.m,IND,0,Graduate,38,"Rs 11,41,000 ~ 11 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,7
44,Nettayam Suji,IND,1,12th Pass,43,"Rs 8,78,926 ~ 8 Lacs+","Rs 31,000 ~ 31 Thou+",KOLLAM,Kerala2016,0
45,P.a. Jaleeludeen,SDPI,1,10th Pass,42,"Rs 4,50,000 ~ 4 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
46,P.v Jagadish Kumar,INC,0,Post Graduate,61,"Rs 4,41,18,876 ~ 4 Crore+","Rs 1,46,75,592 ~ 1 Crore+",KOLLAM,Kerala2016,0
47,R.ramachandran,CPI,5,8th Pass,63,"Rs 47,05,186 ~ 47 Lacs+","Rs 12,50,197 ~ 12 Lacs+",KOLLAM,Kerala2016,0
48,R.sukumaran,BSP,0,10th Pass,59,"Rs 30,24,500 ~ 30 Lacs+","Rs 2,03,000 ~ 2 Lacs+",KOLLAM,Kerala2016,0
49,Rajeswary Rajendran,BJP,0,Post Graduate,52,"Rs 65,81,231 ~ 65 Lacs+","Rs 13,51,256 ~ 13 Lacs+",KOLLAM,Kerala2016,0
50,Rajmohan Unnithan,INC,0,Graduate,62,"Rs 1,79,93,838 ~ 1 Crore+","Rs 18,10,551 ~ 18 Lacs+",KOLLAM,Kerala2016,7
51,Raju,IND,0,8th Pass,40,"Rs 24,10,600 ~ 24 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
52,Ramachandran,IND,2,8th Pass,41,"Rs 6,37,500 ~ 6 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
53,Reghu Damodharan (bheeman Reghu),BJP,1,Graduate,62,"Rs 6,41,000 ~ 6 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,7
54,Rekhu.p,IND,1,5th Pass,38,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
55,Retnakaran,CPI,1,10th Pass,61,"Rs 73,41,930 ~ 73 Lacs+","Rs 75,972 ~ 75 Thou+",KOLLAM,Kerala2016,0
56,S. Chandran,IND,0,8th Pass,61,"Rs 60,511 ~ 60 Thou+","Rs 30,000 ~ 30 Thou+",KOLLAM,Kerala2016,0
57,S.m.jaber,BSP,0,12th Pass,35,"Rs 25,30,000 ~ 25 Lacs+","Rs 15,000 ~ 15 Thou+",KOLLAM,Kerala2016,0
58,Sadasivan,Bharath Dharma Jana Sena,2,Graduate Professional,69,"Rs 3,46,10,496 ~ 3 Crore+","Rs 43,54,855 ~ 43 Lacs+",KOLLAM,Kerala2016,0
59,Sajeed,Welfare Party Of India,2,12th Pass,42,"Rs 16,71,145 ~ 16 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
60,Salimraj A,BSP,0,Graduate Professional,49,"Rs 39,23,022 ~ 39 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
61,Sasikumar,IND,0,Post Graduate,67,"Rs 1,58,45,391 ~ 1 Crore+",Rs 0 ~,KOLLAM,Kerala2016,0
62,Satheek,Bharath Dharma Jana Sena,0,10th Pass,57,"Rs 16,15,51,907 ~ 16 Crore+","Rs 93,15,000 ~ 93 Lacs+",KOLLAM,Kerala2016,0
63,Satheeshkumar.b,SHS,0,10th Pass,40,"Rs 10,57,744 ~ 10 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
64,Shahul Hameed,Peoples Democratic Party,4,8th Pass,47,"Rs 69,743 ~ 69 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
65,Sharafath Mallam,SDPI,4,Graduate,36,"Rs 29,76,514 ~ 29 Lacs+","Rs 5,25,000 ~ 5 Lacs+",KOLLAM,Kerala2016,7
66,Shibu,IND,0,10th Pass,35,"Rs 5,900 ~ 5 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
67,Shibu Babyjohn,Revolutionary Socialist Party,0,Graduate Professional,52,"Rs 19,01,74,684 ~ 19 Crore+","Rs 71,19,159 ~ 71 Lacs+",KOLLAM,Kerala2016,0
68,Sisil Fernandes,Kerala Congress,0,Post Graduate,59,"Rs 84,54,044 ~ 84 Lacs+","Rs 2,80,943 ~ 2 Lacs+",KOLLAM,Kerala2016,0
69,Sivadasan Pillai,BJP,1,10th Pass,65,"Rs 43,49,524 ~ 43 Lacs+","Rs 17,41,000 ~ 17 Lacs+",KOLLAM,Kerala2016,0
70,Sooraj Ravi,INC,2,Graduate,41,"Rs 12,94,398 ~ 12 Lacs+","Rs 15,89,540 ~ 15 Lacs+",KOLLAM,Kerala2016,7
71,Sooranad Rajasekharan,INC,0,Doctorate,66,"Rs 66,39,578 ~ 66 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,10
72,Sreejith,SHS,0,Graduate,31,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,KOLLAM,Kerala2016,7
73,Sudheer.m.g,SHS,0,10th Pass,41,"Rs 9,26,100 ~ 9 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
74,Sunil.m,BJP,1,Graduate,50,"Rs 94,54,209 ~ 94 Lacs+","Rs 44,03,586 ~ 44 Lacs+",KOLLAM,Kerala2016,7
75,Sunny,IND,1,10th Pass,34,"Rs 1,34,000 ~ 1 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
76,Thazhava Sahadevan,Bharath Dharma Jana Sena,0,10th Pass,60,"Rs 30,32,758 ~ 30 Lacs+","Rs 8,66,500 ~ 8 Lacs+",KOLLAM,Kerala2016,0
77,Thulaseedharan Pallickal,SDPI,1,12th Pass,47,"Rs 90,000 ~ 90 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
78,Ullas Kovur,Revolutionary Socialist Party,0,12th Pass,36,"Rs 10,17,000 ~ 10 Lacs+","Rs 8,15,000 ~ 8 Lacs+",KOLLAM,Kerala2016,0
79,V. Remadevi,BSP,0,10th Pass,45,"Rs 7,61,972 ~ 7 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
80,V.antony,SUCI(C),0,12th Pass,56,"Rs 54,70,520 ~ 54 Lacs+","Rs 26,00,000 ~ 26 Lacs+",KOLLAM,Kerala2016,0
81,V.subhash,SHS,0,10th Pass,25,"Rs 73,000 ~ 73 Thou+",Rs 0 ~,KOLLAM,Kerala2016,0
82,Velayudhan Pillai,SHS,0,10th Pass,65,"Rs 48,01,000 ~ 48 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
83,Veliyam Shaji,SHS,0,8th Pass,51,"Rs 1,01,66,077 ~ 1 Crore+","Rs 40,00,000 ~ 40 Lacs+",KOLLAM,Kerala2016,0
84,Vijayakumar,IND,0,8th Pass,43,"Rs 19,10,000 ~ 19 Lacs+",Rs 0 ~,KOLLAM,Kerala2016,0
85,Vinod B.,SUCI(C),1,Graduate,43,"Rs 1,00,900 ~ 1 Lacs+","Rs 3,00,000 ~ 3 Lacs+",KOLLAM,Kerala2016,7
0,A G Thankappan,Bharath Dharma Jana Sena,1,Post Graduate,66,"Rs 33,31,262 ~ 33 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
1,Abdul Nazar,SDPI,0,10th Pass,56,"Rs 32,55,000 ~ 32 Lacs+","Rs 1,18,000 ~ 1 Lacs+",KOTTAYAM,Kerala2016,0
2,Abraham,IND,0,10th Pass,35,"Rs 2,62,216 ~ 2 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
3,Achuthan K P,IND,0,Graduate,49,"Rs 60,63,235 ~ 60 Lacs+","Rs 3,44,732 ~ 3 Lacs+",KOTTAYAM,Kerala2016,7
4,Adv. C P Rajesh,BSP,0,Graduate Professional,44,"Rs 18,600 ~ 18 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
5,Adv. Jose Thomas Pandiyammakkal,IND,0,Post Graduate,63,"Rs 7,49,22,791 ~ 7 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
6,Adv. M S Karunakaran,BJP,1,Graduate Professional,62,"Rs 1,12,29,627 ~ 1 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
7,Adv. Mons Joseph,Kerala Congress (M),0,Graduate Professional,51,"Rs 1,37,83,000 ~ 1 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
8,Adv. P C Joseph Ponnattu,IND,2,Graduate Professional,66,"Rs 19,26,02,729 ~ 19 Crore+","Rs 1,47,38,631 ~ 1 Crore+",KOTTAYAM,Kerala2016,0
9,Adv. P K Geetha Krishnan,BSP,0,Post Graduate,39,"Rs 11,316 ~ 11 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
10,Adv. Reji Sakhariya,CPI(M),1,Graduate Professional,49,"Rs 55,87,881 ~ 55 Lacs+","Rs 6,00,000 ~ 6 Lacs+",KOTTAYAM,Kerala2016,0
11,Adv. V B Binu,CPI,0,Graduate Professional,56,"Rs 1,58,91,079 ~ 1 Crore+","Rs 2,20,000 ~ 2 Lacs+",KOTTAYAM,Kerala2016,0
12,Althaf,SDPI,0,10th Pass,44,"Rs 69,30,400 ~ 69 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
13,Anila Bose,SUCI(C),0,Post Graduate,25,"Rs 26,638 ~ 26 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
14,Antony,IND,0,10th Pass,40,"Rs 29,31,664 ~ 29 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
15,Arun M John,BSP,0,Post Graduate,30,"Rs 9,30,288 ~ 9 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
16,Asha C K,CPI,0,Graduate,40,"Rs 27,50,726 ~ 27 Lacs+","Rs 12,21,684 ~ 12 Lacs+",KOTTAYAM,Kerala2016,7
17,Asharaj,SUCI(C),0,12th Pass,35,"Rs 5,15,500 ~ 5 Lacs+","Rs 1,50,000 ~ 1 Lacs+",KOTTAYAM,Kerala2016,0
18,Babu,IND,0,10th Pass,50,"Rs 2,47,98,488 ~ 2 Crore+","Rs 25,32,583 ~ 25 Lacs+",KOTTAYAM,Kerala2016,0
19,Babu Varghese,Kerala Congress Secular,0,Post Graduate,44,"Rs 44,79,473 ~ 44 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
20,Chandrasekharan K C,BSP,0,10th Pass,51,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
21,Cherian,SUCI(C),0,Graduate,46,"Rs 13,17,551 ~ 13 Lacs+","Rs 50,000 ~ 50 Thou+",KOTTAYAM,Kerala2016,7
22,Dr. K C Joseph,IND,0,Graduate Professional,66,"Rs 1,19,05,980 ~ 1 Crore+","Rs 1,14,564 ~ 1 Lacs+",KOTTAYAM,Kerala2016,0
23,Dr. N Jayaraj,Kerala Congress (M),0,Post Graduate,60,"Rs 1,78,96,729 ~ 1 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
24,George,BJP,0,Post Graduate,55,"Rs 61,30,650 ~ 61 Lacs+","Rs 67,000 ~ 67 Thou+",KOTTAYAM,Kerala2016,0
25,George Chacko,IND,0,12th Pass,52,"Rs 8,26,522 ~ 8 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
26,Georgekutty,Kerala Congress (M),0,12th Pass,55,"Rs 61,98,902 ~ 61 Lacs+","Rs 40,27,823 ~ 40 Lacs+",KOTTAYAM,Kerala2016,0
27,Georgekutty Sebastian,IND,0,Post Graduate,28,"Rs 64,84,408 ~ 64 Lacs+","Rs 4,69,096 ~ 4 Lacs+",KOTTAYAM,Kerala2016,0
28,Ginish John M,BSP,0,10th Pass,40,"Rs 3,26,200 ~ 3 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
29,Hassan Kunju P S,IND,0,10th Pass,59,"Rs 1,36,56,000 ~ 1 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
30,Indulekha Joseph,IND,0,Graduate Professional,27,"Rs 5,398 ~ 5 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
31,Jaick C Thomas,CPI(M),19,Graduate,26,"Rs 30,99,966 ~ 30 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,7
32,James Joseph,IND,0,12th Pass,49,"Rs 52,29,500 ~ 52 Lacs+","Rs 4,66,000 ~ 4 Lacs+",KOTTAYAM,Kerala2016,0
33,Jijo,IND,0,10th Pass,38,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
34,John Joy,IND,0,Graduate,60,"Rs 76,14,244 ~ 76 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,7
35,Joseph P C Purathayil,IND,0,Others,65,"Rs 53,01,238 ~ 53 Lacs+","Rs 9,60,000 ~ 9 Lacs+",KOTTAYAM,Kerala2016,0
36,Joseph T M,IND,0,10th Pass,Unknown,"Rs 87,75,144 ~ 87 Lacs+","Rs 32,000 ~ 32 Thou+",KOTTAYAM,Kerala2016,0
37,K M Mani,Kerala Congress (M),0,Graduate Professional,83,"Rs 4,94,47,508 ~ 4 Crore+",Rs 0 ~,KOTTAYAM,Kerala2016,0
38,K M Sivaprasad Gandhi,IND,0,Graduate,36,"Rs 1,38,96,000 ~ 1 Crore+","Rs 9,00,000 ~ 9 Lacs+",KOTTAYAM,Kerala2016,7
39,Kunjumon Abraham,IND,0,8th Pass,54,"Rs 13,500 ~ 13 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
40,Kuttan,IND,0,10th Pass,59,"Rs 11,31,100 ~ 11 Lacs+","Rs 1,10,000 ~ 1 Lacs+",KOTTAYAM,Kerala2016,0
41,M R Ullas,Bharath Dharma Jana Sena,0,Graduate Professional,34,"Rs 96,31,766 ~ 96 Lacs+","Rs 46,93,725 ~ 46 Lacs+",KOTTAYAM,Kerala2016,0
42,M S Noushad,Peoples Democratic Party,0,10th Pass,49,"Rs 7,96,500 ~ 7 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
43,Mani C Kappen,NCP,7,Post Graduate,59,"Rs 28,52,78,630 ~ 28 Crore+","Rs 13,89,75,143 ~ 13 Crore+",KOTTAYAM,Kerala2016,0
44,Manoj Aruvikkuzhy,IND,1,5th Pass,38,Rs 264 ~ 2 Hund+,"Rs 20,000 ~ 20 Thou+",KOTTAYAM,Kerala2016,0
45,Muhammed Siyad,SDPI,1,10th Pass,38,"Rs 26,55,781 ~ 26 Lacs+","Rs 1,40,000 ~ 1 Lacs+",KOTTAYAM,Kerala2016,0
46,N K Neelakandan,Bharath Dharma Jana Sena,2,Others,66,"Rs 53,01,000 ~ 53 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
47,Nishad Nadakal,Peoples Democratic Party,0,8th Pass,40,"Rs 8,63,081 ~ 8 Lacs+","Rs 5,00,000 ~ 5 Lacs+",KOTTAYAM,Kerala2016,0
48,Oommen Chandy,INC,0,Graduate Professional,72,"Rs 1,24,16,711 ~ 1 Crore+","Rs 23,39,091 ~ 23 Lacs+",KOTTAYAM,Kerala2016,0
49,P A Abdul Hakkim,Welfare Party Of India,10,10th Pass,67,"Rs 55,66,586 ~ 55 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
50,P C George,IND,3,Graduate,65,"Rs 2,47,66,935 ~ 2 Crore+","Rs 1,95,26,256 ~ 1 Crore+",KOTTAYAM,Kerala2016,7
51,Payas C P,IND,0,Literate,52,"Rs 1,36,412 ~ 1 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,2
52,Prakash K C,CPI(ML) Red Star,0,Not Given,53,"Rs 4,68,750 ~ 4 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
53,Radhakrishnan V K,BJP,0,Graduate,68,"Rs 54,56,901 ~ 54 Lacs+","Rs 22,76,725 ~ 22 Lacs+",KOTTAYAM,Kerala2016,7
54,Rajan K N,SUCI(C),0,8th Pass,53,"Rs 47,000 ~ 47 Thou+","Rs 20,000 ~ 20 Thou+",KOTTAYAM,Kerala2016,0
55,Rajeev Kidangoor,IND,3,10th Pass,36,"Rs 66,24,120 ~ 66 Lacs+","Rs 4,60,000 ~ 4 Lacs+",KOTTAYAM,Kerala2016,0
56,Raji Rajan,BSP,0,10th Pass,40,"Rs 2,71,500 ~ 2 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
57,Raju,SUCI(C),0,8th Pass,56,"Rs 16,09,972 ~ 16 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
58,Rejitha Jayaram,SUCI(C),0,12th Pass,38,"Rs 64,128 ~ 64 Thou+","Rs 5,000 ~ 5 Thou+",KOTTAYAM,Kerala2016,0
59,Roy Chemmanam,SP,0,10th Pass,49,"Rs 16,02,800 ~ 16 Lacs+","Rs 25,00,000 ~ 25 Lacs+",KOTTAYAM,Kerala2016,0
60,Sainulabdeen,IND,0,10th Pass,57,"Rs 6,62,300 ~ 6 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
61,Sajan C Madhavan,IND,0,Not Given,50,Rs 100 ~ 1 Hund+,Rs 0 ~,KOTTAYAM,Kerala2016,0
62,Saneeshkumar,INC,0,Post Graduate,39,"Rs 8,67,257 ~ 8 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
63,Santhosh,Kerala Janatha Party,0,10th Pass,36,"Rs 5,11,282 ~ 5 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
64,Scaria Thomas,Kerala Congress (Skariah Thomas),0,12th Pass,70,"Rs 4,07,07,213 ~ 4 Crore+","Rs 7,13,855 ~ 7 Lacs+",KOTTAYAM,Kerala2016,0
65,Shaiju Ponkunnam,IND,1,12th Pass,42,"Rs 4,47,085 ~ 4 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
66,Shibu P C,BSP,0,Others,48,"Rs 8,36,108 ~ 8 Lacs+","Rs 3,89,316 ~ 3 Lacs+",KOTTAYAM,Kerala2016,0
67,Siyam P Ashraf,IND,1,10th Pass,32,"Rs 3,031 ~ 3 Thou+","Rs 35,000 ~ 35 Thou+",KOTTAYAM,Kerala2016,0
68,Sojan Paviyanose,IND,2,Graduate Professional,41,"Rs 19,71,350 ~ 19 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
69,Stephen Chazhikadan,Kerala Congress,1,Graduate Professional,52,"Rs 20,80,000 ~ 20 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
70,Subeesh K S,Peoples Democratic Party,0,10th Pass,31,"Rs 81,000 ~ 81 Thou+",Rs 0 ~,KOTTAYAM,Kerala2016,0
71,Surendran,CPI(ML) Red Star,0,8th Pass,53,"Rs 6,05,250 ~ 6 Lacs+",Rs 0 ~,KOTTAYAM,Kerala2016,0
72,Suresh K,IND,1,Graduate,37,"Rs 1,17,400 ~ 1 Lacs+","Rs 2,93,765 ~ 2 Lacs+",KOTTAYAM,Kerala2016,7
73,Suresh Kurup,CPI(M),1,Graduate Professional,59,"Rs 71,23,444 ~ 71 Lacs+","Rs 26,80,597 ~ 26 Lacs+",KOTTAYAM,Kerala2016,0
74,T P Kuttappan Kuruppanthara,Kerala Janatha Party,0,8th Pass,63,"Rs 3,01,000 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+",KOTTAYAM,Kerala2016,0
75,Thiruvanchoor Radhakrishnan,INC,0,Graduate Professional,66,"Rs 1,59,29,499 ~ 1 Crore+","Rs 3,08,414 ~ 3 Lacs+",KOTTAYAM,Kerala2016,0
76,Thomas Chazhikadan,Kerala Congress (M),0,Graduate Professional,63,"Rs 2,32,43,424 ~ 2 Crore+","Rs 9,00,000 ~ 9 Lacs+",KOTTAYAM,Kerala2016,0
77,V N Manoj,BJP,0,10th Pass,46,"Rs 17,37,153 ~ 17 Lacs+","Rs 50,000 ~ 50 Thou+",KOTTAYAM,Kerala2016,0
0,A K Saseendran,NCP,2,10th Pass,70,"Rs 1,44,26,035 ~ 1 Crore+",Rs 0 ~,KOZHIKODE,Kerala2016,0
1,A Pradeep Kumar,CPI(M),3,12th Pass,51,"Rs 1,13,45,235 ~ 1 Crore+","Rs 17,05,613 ~ 17 Lacs+",KOZHIKODE,Kerala2016,0
2,A.p.abdul Vahab,IND,0,10th Pass,37,"Rs 2,33,000 ~ 2 Lacs+",Rs 0 ~,KOZHIKODE,Kerala2016,0
